indice_tiempo,ind_burs_min_no_met_var_pct
2019-01-01,0.3231629576457027
2019-02-01,0.21900042712807855
2019-03-01,0.055101576731703794
2019-04-01,-0.15686577857357586
2019-05-01,0.23901629483998144
2019-06-01,0.2954011648060615
2019-07-01,-0.0004732856807052599
2019-08-01,-0.37451783888209766
2019-09-01,-0.28830957908035326
2019-10-01,0.16070542226418083
2019-11-01,-0.04996626123045378
2019-12-01,0.14510820785562717
2020-01-01,0.12559471258182753
2020-02-01,-0.09275296053297999
2020-03-01,-0.2762926392555911
2020-04-01,-0.14050639365186857
2020-05-01,0.18653891415845814
2020-06-01,0.17167296682398336
2020-07-01,0.047502899620975425
2020-08-01,0.307031580773266
2020-09-01,0.5845130295050505
2020-10-01,-0.33147210852108855
2020-11-01,0.017387940898871967
2020-12-01,0.26120254912396623
