indice_tiempo,ind_burs_sspp_var_pct
2019-01-01,0.029216033444468437
2019-02-01,0.10311680927141342
2019-03-01,-0.08535675096117268
2019-04-01,-0.10148968125309654
2019-05-01,-0.022000004223437064
2019-06-01,0.06987615577354345
2019-07-01,0.09636982201154987
2019-08-01,-0.0852935218880474
2019-09-01,-0.33012037051227183
2019-10-01,0.24367376429364085
2019-11-01,-0.04172737145121108
2019-12-01,-0.0028130596442245137
2020-01-01,0.026152754675116574
2020-02-01,0.03472649917047943
2020-03-01,-0.18678960405594558
2020-04-01,-0.07587574826319665
2020-05-01,0.21829881804725515
2020-06-01,-0.02194784628603741
2020-07-01,0.07861121253138048
2020-08-01,0.18314240382751024
2020-09-01,0.00882475354604284
2020-10-01,0.05041594589579357
2020-11-01,0.08551227908340842
2020-12-01,0.0045596517717068075
