indice_tiempo,ind_burs_const_var_pct
2018-12-01,-0.017903242659782825
2019-01-01,0.023620673349099786
2019-02-01,-0.0016478872907328412
2019-03-01,-0.1787182886204104
2019-04-01,-0.024634972142166256
2019-05-01,-0.05296299870049892
2019-06-01,-0.29576327192820606
2019-07-01,0.7208852578603648
2019-08-01,-0.06637254493273292
2019-09-01,-0.08764960929586074
2019-10-01,0.21009091121992007
2019-11-01,0.2405789505107263
2019-12-01,0.11399083578715596
2020-01-01,-0.0660142746049256
2020-02-01,0.15731745445184186
2020-03-01,-0.08528708015259023
2020-04-01,-0.10517940648706359
2020-05-01,0.32736927626500134
2020-06-01,-0.0954012983284348
2020-07-01,-0.03250055835427901
2020-08-01,0.058892243849960835
2020-09-01,-0.13108749529757024
2020-10-01,0.19366523567400962
2020-11-01,0.08027263094024217
