indice_tiempo,ind_burs_side_var_pct
2019-01-01,-0.06002902951599143
2019-02-01,0.13057087805672252
2019-03-01,0.09759097434904995
2019-04-01,-0.023679407835307975
2019-05-01,-0.09901119920075507
2019-06-01,0.016334407722486732
2019-07-01,0.0980322293848499
2019-08-01,0.10337244857634098
2019-09-01,0.04126950731144574
2019-10-01,-0.5174114839702992
2019-11-01,0.876567472985329
2019-12-01,0.034982731372253495
2020-01-01,0.011991146016840704
2020-02-01,-0.023377743488279368
2020-03-01,-0.21004000916803345
2020-04-01,-0.014393704118867534
2020-05-01,0.3547990155914533
2020-06-01,0.2976421375118685
2020-07-01,-0.0310532756928823
2020-08-01,0.17081341039603393
2020-09-01,0.008302860813850454
2020-10-01,0.08904646054833809
2020-11-01,0.10381157643138139
2020-12-01,0.0036360947536873134
