indice_tiempo,ind_burs_metalmec_var_pct
2009-12-01,0.04682144360062712
2010-01-01,0.08807612309389068
2010-02-01,0.07419809776226471
2010-03-01,0.08088074321276095
2010-04-01,0.0018267004427767741
2010-05-01,-0.04837662986449254
2010-06-01,-0.17508335456787105
2010-07-01,0.09716673894047867
2010-08-01,0.14537999024781456
2010-09-01,-0.06891556046606873
2010-10-01,0.2225572743706763
2010-11-01,0.06452959487531662
2010-12-01,-0.0358587232694908
2011-01-01,0.12002830026604183
2011-02-01,0.11568122721276652
2011-03-01,0.021514578255972694
2011-04-01,0.05232238384556287
2011-05-01,-0.011496472521459022
2011-06-01,-0.11883586703661297
2011-07-01,0.04054534055090153
2011-08-01,-0.08358297943050452
2011-09-01,-0.0906748940351576
2011-10-01,-0.12452724070899357
2011-11-01,0.17331078450690862
2011-12-01,0.020932529758945995
2012-01-01,-0.005396270924537538
2012-02-01,0.06294781727974552
2012-03-01,0.06876714793944783
2012-04-01,-0.09543164748863386
2012-05-01,-0.13672403174622116
2012-06-01,-0.03963815822426653
2012-07-01,-0.042654869080620994
2012-08-01,-0.040734820343043765
2012-09-01,0.0805902117525985
2012-10-01,0.0977833707428366
2012-11-01,-0.02051887140774633
2012-12-01,-0.010922651940247552
2013-01-01,0.18074486481591
2013-02-01,0.14355302571896766
2013-03-01,0.10085161787549812
2013-04-01,0.0860510517517239
2013-05-01,0.07049429208227398
2013-06-01,-0.04652188607682306
2013-07-01,-0.034895292003258804
2013-08-01,0.07597865161458017
2013-09-01,0.06294834792745507
2013-10-01,0.09327571787539601
2013-11-01,0.08169836687347032
2013-12-01,-0.03705035828807368
2014-01-01,-0.048530267893362344
2014-02-01,-0.10326348470626834
2014-03-01,0.029679629654085327
2014-04-01,0.12621313628583186
2014-05-01,0.018712094502983723
2014-06-01,0.10280674660840905
2014-07-01,0.04355211499738676
2014-08-01,-0.02132655380362458
2014-09-01,0.11872521446500972
2014-10-01,0.16978255413793364
2014-11-01,-0.1040861960853644
2014-12-01,-0.17996122107645862
2015-01-01,0.0072781317235566245
2015-02-01,0.05397953100291564
2015-03-01,0.17924150672868633
2015-04-01,0.14497984738652603
2015-05-01,-0.0547968946768943
2015-06-01,-0.022867607051775485
2015-07-01,0.09655511305217557
2015-08-01,0.06441470658832427
2015-09-01,0.0632137130491981
2015-10-01,0.1134127347962397
2015-11-01,0.18969514408359323
2015-12-01,0.26201287123051653
2016-01-01,0.3642279467443419
2016-02-01,0.3287888989423282
2016-03-01,0.3583525827317946
2016-04-01,0.2094334858709732
2016-05-01,0.0865152580899251
2016-06-01,0.02159007458973261
2016-07-01,-0.11684885156824087
2016-08-01,0.0485076209360058
2016-09-01,0.009762136399081411
2016-10-01,-0.0004377930266795671
2016-11-01,0.040006146587953983
2016-12-01,-0.13218233488410536
2017-01-01,-0.03604485848248906
2017-02-01,0.006243087456712537
2017-03-01,0.09159420433155474
2017-04-01,0.11600304535868577
2017-05-01,0.00397199628404854
2017-06-01,0.13492639530582573
2017-07-01,0.004085546820540076
2017-08-01,0.02960695790052892
2017-09-01,-0.165003922852607
2017-10-01,0.13683894052080903
2017-11-01,0.15981943423687106
2017-12-01,-0.05350415356421023
2018-01-01,0.06091464287440762
2018-02-01,0.10384628664170448
2018-03-01,-0.056128916435134846
2018-04-01,-0.08175960925683246
2018-05-01,-0.055224267130693616
2018-06-01,-0.09957242141676736
2018-07-01,-0.15771411518986111
2018-08-01,-0.08163756316317294
2018-09-01,-0.03987528519529615
2018-10-01,0.03977554050434562
2018-11-01,-0.09074203749910237
2018-12-01,-0.0029363597179710155
