indice_tiempo,ind_burs_qui_otros_var_pct
2018-12-01,-0.04878621768895397
2019-01-01,0.41714459096476353
2019-02-01,-0.19412623271144314
2019-03-01,0.014141051518514303
2019-04-01,0.18433067052096463
2019-05-01,0.06314960942611503
2019-06-01,-0.08363496170295293
2019-07-01,0.28814304807503244
2019-08-01,-0.11979406211002008
2019-09-01,-0.17864667480644592
2019-10-01,-0.03841131744802406
2019-11-01,-0.035903548127225404
2019-12-01,-0.6336250542593989
2020-01-01,0.5347222451824292
2020-02-01,0.21832011402126783
2020-03-01,-0.19135174831026702
2020-04-01,0.007819362410000252
2020-05-01,-0.21609667610821193
2020-06-01,0.43901262059230595
2020-07-01,0.12083191466313825
2020-08-01,0.2076375221688458
2020-09-01,-0.29492621470444946
2020-10-01,0.3624491763231903
2020-11-01,0.2049011818326243
